id,fecha_publicacion,precio_cop,area_m2,habitaciones,banos,barrio,direccion,ciudad,lat,lon,tipo_propiedad
798775,2024-09-11,384322000,127,6,1,La Flora,Avenida 50 #99-46,Cali,3.397538,-76.512394,Apartaestudio
313650,2024-09-11,485773000,99,4,2,El Refugio,Carrera 42 #87-19,Cali,3.471434,-76.568954,Apartaestudio
287327,2024-09-12,323645000,78,3,1,San  Antonio,Avenida 58 #63-43,Cali,3.398487,-76.462757,Apartamento
835190,2024-09-12,665123000,95,1,5,"",Avenida 44 #26-20,Cali,3.456033,-76.564672,Apartaestudio
792093,2024-09-12,424504000,98,1,2,"",Avenida 53 #24-49,Cali,3.444233,-76.50739,  Apartamento 
618464,2024-09-12,362576000,60,3,4,Santa Mónica,Transversal 106 #18-55,Cali,3.482707,-76.542685,Apartamento
608103,2024-09-12,442648000,,4,3,Tequendama,Carrera 106 #36-34,Cali,3.457328,-76.540176,Casa
835190,2024-09-12,665123000,95,1,5,"",Avenida 44 #26-20,Cali,3.456033,-76.564672,Apartaestudio
547458,2024-09-13,167813000,139,5,1,San Bosco,Avenida 29 #17-40,Cali,3.485933,-76.469987,Apartamento
368204,2024-09-13,301662000,64,1,2,El Ingenio,Transversal 92 #18-45,Cali,3.478053,-76.509509,Apartaestudio
869374,2024-09-13,"",103,4,1,  Centenario ,Carrera 96 #62-30,Cali,3.390446,-76.531173,Apartaestudio
705296,2024-09-13,572617000,84,4,1,Pance,Carrera 85 #14-30,Cali,3.390939,-76.536328,Apartamento
198119,2024-09-13,223686000,83,2,2,  San Fernando ,Carrera 119 #34-47,Cali,3.480612,-76.473726,Apartamento
765299,2024-09-15,283733000,88,3,2,,Calle 119 #4-28,Santiago de Cali,3.455652,-76.545377,Apartamento
859722,2024-09-15,398583000,104,1,4,San Fernando,Transversal 111 #108-33,Cali,3.484791,-76.484006,  Apartamento 
790979,2024-09-15,467044000,105,2,2,"",Avenida 96 #43-4,Cali,3.489443,-76.502315,Casa
558919,2024-09-15,314514000,,5,2,San Fernando,Carrera 55 #95-9,Cali,3.392286,-76.504744,Apartamento
496821,2024-09-15,213861000,,5,1,La Flora,Carrera 73 #12-8,Cali,3.483106,-76.536271,Apartamento
878430,2024-09-16,228205000,122,5,1,Granada,Carrera 43 #59-40,Cali,3.459266,-76.45184,Casa
984529,2024-09-16,196573000,78,5,3,El Refugio,Carrera 30 #27-22,Cali,3.395082,-76.53735,Apartaestudio
564282,2024-09-16,505628000,217,4,2,San  Antonio,Calle 35 #50-36,Cali,3.488035,-76.492632,Casa
222479,2024-09-16,703361000,54,2,5,San Antonio,Calle 21 #22-32,Santiago de Cali,3.451984,-76.509606,  Casa 
122772,2024-09-16,431434000,111,6,1,  El Ingenio ,Avenida 35 #35-3,Cali,3.479874,-76.517829,Apartamento
871168,2024-09-16,308541000,115,2,"",Centenario,Transversal 38 #30-4,Cali,3.430831,-76.551027,Casa
492365,2024-09-16,155522000,83,3,4,San Cayetano,Avenida 34 #61-16,  Cali ,3.475281,-76.458393,  Casa 
684088,2024-09-17,435763000,98,2,1,San Bosco,Carrera 38 #35-12,Cali,3.414306,-76.553708,Casa
723506,2024-09-17,128717000,101,2,4,San Bosco,Transversal 42 #114-39,Cali,3.448563,-76.534527,Casa
822514,2024-09-17,457194000,69,3,1,San Judas,Carrera 97 #43-1,Santiago de Cali,3.479665,-76.460399,  Apartaestudio 
204511,2024-09-17,712591000,214,1,5,  Napoles ,Avenida 92 #5-41,Cali,3.440107,-76.560323,Casa
757754,2024-09-17,160377000,169,1,4,Ciudad  Jardín,  Carrera 70 #42-7 ,Cali,3.43256,-76.489416,Apartaestudio
135373,2024-09-17,411734000,,3,1,San  Antonio,Avenida 112 #110-60,Cali,3.475332,-76.554936,Apartamento
936938,2024-09-17,487927000,152,2,1,San Judas,Transversal 16 #83-46,Cali,3.424619,-76.474031,Apartamento
317467,2024-09-17,595712000,77,3,2,San Antonio,Carrera 6 #94-43,Cali,3.443534,-76.514616,Casa
466295,2024-09-17,502146000,106,4,1,San Judas,Carrera 111 #4-59,Cali,3.442595,-76.462967,Casa
475377,2024-09-18,363475000,85,5,1,San Cayetano,Carrera 108 #60-31,Cali,3.424283,-76.468565,Apartamento
924015,2024-09-18,435285000,134,6,1,San Judas,Avenida 50 #37-48,Santiago de Cali,3.485722,-76.524719,
231366,2024-09-18,483191000,54,4,4,San  Antonio,,Cali,3.381037,-76.468498,Apartamento
415312,2024-09-18,385691000,38,3,4,Napoles,Transversal 49 #45-5,Cali,3.386686,-76.53385,Apartamento
473561,2024-09-18,606894000,58,1,3,Santa Mónica,Avenida 71 #48-22,  Cali ,3.390593,-76.499036,Apartamento
839688,2024-09-18,457446000,,2,1,San Fernando,Avenida 13 #50-9,Cali,3.419959,-76.525586,Apartamento
815639,2024-09-18,288481000,89,3,2,El Refugio,Carrera 68 #82-48,Cali,3.414523,-76.466072,Apartamento
214755,2024-09-18,758447000,141,3,3,Santa Mónica,,Cali,3.47924,-76.459261,Apartamento
473561,2024-09-18,606894000,58,1,3,Santa Mónica,Avenida 71 #48-22,  Cali ,3.390593,-76.499036,Apartamento
214755,2024-09-18,758447000,141,3,3,Santa Mónica,,Cali,3.47924,-76.459261,Apartamento
153373,2024-09-19,360031000,117,4,1,San Antonio,Transversal 5 #4-47,Cali,3.404174,-76.478251,Casa
411397,2024-09-19,172189000,53,1,4,San Judas,  Avenida 103 #35-51 ,  Cali ,3.460535,-76.558036,Apartamento
617896,2024-09-19,242412000,70,6,1,San Fernando,Calle 65 #41-57,Cali,3.411145,-76.496307,Apartamento
630750,2024-09-19,392702000,69,4,2,San Judas,Avenida 106 #26-1,Santiago de Cali,3.450754,-76.510654,Apartamento
848024,2024-09-20,258542000,78,1,1,San Antonio,Calle 8 #44-58,Cali,3.399256,-76.528164,Apartamento
755727,2024-09-20,350211000,93,2,3,San Cayetano,  Transversal 43 #9-37 ,Cali,3.408694,-76.465482,""
897806,2024-09-20,249540000,118,3,3,El Ingenio,Calle 117 #120-56,Cali,3.40792,-76.48049,  Apartaestudio 
551079,2024-09-20,186160000,74,6,1,La Flora,Avenida 88 #29-39,Cali,3.449182,-76.566269,Apartaestudio
655645,2024-09-20,390334000,108,1,2,San Judas,Avenida 6 #105-35,Cali,3.451341,-76.474134,Casa
565497,2024-09-20,330528000,84,1,1,Napoles,Transversal 90 #71-51,Cali,3.384634,-76.557791,  Apartamento 
445313,2024-09-20,185279000,82,4,4,El Ingenio,Transversal 44 #39-35,Cali,3.382857,-76.489536,  Casa 
551079,2024-09-20,186160000,74,6,1,La Flora,Avenida 88 #29-39,Cali,3.449182,-76.566269,Apartaestudio
492794,2024-09-21,242658000,32,3,1,El Refugio,Transversal 56 #60-27,Cali,3.438092,-76.499835,Apartamento
903655,2024-09-21,240543000,104,3,4,El Ingenio,  Transversal 119 #15-16 ,Cali,3.409786,-76.526845,  Casa 
522100,2024-09-21,545925000,87,6,1,Granada,Calle 94 #106-4,Cali,3.457419,-76.55815,Casa
907480,2024-09-21,203168000,33,1,2,Napoles,Calle 108 #4-28,Cali,3.440528,-76.549691,Casa
787906,2024-09-21,233611000,61,5,2,Tequendama,Calle 102 #88-10,Cali,3.481607,-76.482121,Casa
562085,2024-09-23,327369000,56,2,2,  San Cayetano ,Avenida 11 #24-46,Cali,3.427838,-76.4947,Apartamento
773439,2024-09-23,142786000,137,4,3,Tequendama,Carrera 92 #59-36,Cali,3.480588,-76.464936,Casa
183255,2024-09-23,213488000,166,6,3,El Ingenio,Transversal 107 #55-50,Santiago de Cali,3.386679,-76.513617,Apartamento
361614,2024-09-23,440100000,63,2,3,El Refugio,Carrera 21 #44-2,Cali,3.38273,-76.565597,Casa
579481,2024-09-24,375977000,36,6,2,San Fernando,Transversal 102 #48-31,  Cali ,3.414287,-76.556855,Casa
225649,2024-09-24,566409000,,4,2,Pance,Transversal 17 #25-19,Cali,3.481828,-76.488,Casa
285491,2024-09-24,249750000,53,1,3,Granada,Carrera 7 #38-25,  Cali ,3.420309,-76.552658,Casa
849043,2024-09-24,517961000,38,1,,  San Cayetano ,  Transversal 66 #68-17 ,Cali,3.395015,-76.46084,Apartaestudio
579481,2024-09-24,375977000,36,6,2,San Fernando,Transversal 102 #48-31,  Cali ,3.414287,-76.556855,Casa
292541,2024-09-25,287376000,60,1,3,  Napoles ,Avenida 41 #67-55,Cali,3.394048,-76.520135,Apartaestudio
585293,2024-09-25,1133346000,78,2,2,Santa Mónica,  Carrera 55 #44-50 ,Cali,3.448982,-76.539459,Casa
291576,2024-09-25,379535000,54,5,1,San Cayetano,Calle 34 #14-44,Cali,3.388634,-76.532612,Apartamento
515658,2024-09-26,323395000,161,1,4,Ciudad  Jardín,  Calle 19 #43-13 ,Cali,3.399138,-76.48828,Casa
886238,2024-09-26,326860000,106,4,1,  San Fernando ,Transversal 114 #63-32,Cali,3.391802,-76.525055,Casa
168807,2024-09-27,431378000,68,5,1,San Bosco,Avenida 64 #63-58,Cali,3.48842,-76.538809,Apartamento
736237,2024-09-27,,84,1,1,San Antonio,Avenida 112 #23-37,Cali,3.40224,-76.460764,  Apartamento 
845731,2024-09-27,293199000,84,3,3,  San Judas ,Avenida 27 #59-46,Cali,3.429435,-76.555388,Casa
676875,2024-09-28,375696000,137,3,4,San Judas,Transversal 88 #18-10,Cali,3.434152,-76.507784,  Apartaestudio 
682523,2024-09-28,662799000,277,4,2,San Fernando,Calle 30 #28-50,Cali,3.405997,-76.466538,Casa
347018,2024-09-28,266492000,45,1,5,Ciudad  Jardín,Avenida 99 #40-20,Cali,3.392814,-76.546496,  Casa 
602749,2024-09-29,300348000,94,3,1,San  Antonio,Calle 105 #63-35,Cali,3.409152,-76.53053,Apartamento
809601,2024-09-29,414068000,64,3,1,  Granada ,Avenida 7 #65-54,Cali,3.483305,-76.501097,Casa
673691,2024-09-29,256278000,152,3,4,Santa Mónica,  Calle 65 #16-6 ,Cali,3.463035,-76.567058,Apartaestudio
692604,2024-09-29,273335000,95,2,2,San Bosco,Carrera 73 #95-6,Santiago de Cali,3.44155,-76.476133,Casa
897465,2024-09-29,344975000,91,4,2,,Avenida 117 #101-3,Cali,3.390958,-76.456429,Apartaestudio
572951,2024-09-30,628219000,38,1,1,  San  Antonio ,Carrera 62 #56-1,Cali,3.442105,-76.498383,Apartamento
106640,2024-09-30,394215000,,1,5,Napoles,Carrera 72 #39-34,Cali,3.385243,-76.526461,Casa
310766,2024-09-30,828684000,140,6,5,  San Fernando ,  Calle 105 #1-13 ,Santiago de Cali,3.468052,-76.515468,Apartamento
180558,2024-09-30,916715000,62,6,1,San  Antonio,Carrera 78 #59-50,"",3.389082,-76.555787,Apartaestudio
700176,2024-09-30,195574000,107,6,2,El Refugio,Avenida 109 #45-22,Cali,3.42821,-76.515558,  Casa 
469344,2024-10-01,325065000,89,3,3,Pance,  Carrera 106 #32-56 ,Santiago de Cali,3.470399,-76.548593,Apartaestudio
455583,2024-10-01,505774000,85,5,2,Santa Mónica,  Avenida 19 #58-18 ,Cali,3.42267,-76.527243,""
340286,2024-10-01,128289000,64,1,,  Tequendama ,Calle 113 #1-20,Cali,3.46202,-76.536382,Casa
876156,2024-10-01,339211000,99,1,1,  El Ingenio ,Transversal 48 #1-26,"",3.456452,-76.534011,Apartamento
759273,2024-10-01,540634000,37,3,1,San  Antonio,Avenida 84 #83-49,Cali,3.484349,-76.535266,Casa
776754,2024-10-01,299543000,104,2,1,Santa Mónica,Calle 112 #84-33,Cali,3.465105,-76.494745,  Apartamento 
469344,2024-10-01,325065000,89,3,3,Pance,  Carrera 106 #32-56 ,Santiago de Cali,3.470399,-76.548593,Apartaestudio
189398,2024-10-02,297787000,73,5,1,San  Antonio,Avenida 62 #92-44,Cali,3.431319,-76.468851,Casa
184431,2024-10-02,"",186,3,3,San Fernando,Carrera 64 #54-19,Santiago de Cali,3.473914,-76.450601,Apartamento
837691,2024-10-02,322485000,87,6,1,Tequendama,Transversal 33 #101-57,Cali,3.426081,-76.529767,  Casa 
401580,2024-10-02,748813000,100,5,2,Granada,Calle 98 #56-26,Santiago de Cali,3.477365,-76.457961,Apartamento
328845,2024-10-02,407675000,148,3,5,San Cayetano,Carrera 83 #15-5,Santiago de Cali,3.410099,-76.467576,  Apartamento 
538863,2024-10-02,439732000,60,3,3,Pance,  Avenida 26 #70-24 ,Santiago de Cali,3.426185,-76.526616,Casa
625060,2024-10-02,240358000,105,4,1,San Fernando,Avenida 69 #73-54,Cali,3.438823,-76.468079,Apartaestudio
468597,2024-10-03,275684000,59,1,5,Centenario,Transversal 37 #56-47,Cali,3.434728,-76.483333,Apartamento
249498,2024-10-03,453291000,77,3,2,San Fernando,Calle 56 #42-31,  Cali ,3.424019,-76.460122,Casa
403316,2024-10-03,369068000,71,3,1,Granada,Calle 63 #1-51,Santiago de Cali,3.462769,-76.558208,  Apartamento 
733025,2024-10-03,458390000,123,1,1,Santa Mónica,Avenida 28 #39-39,Cali,3.44537,-76.45136,Apartamento
815010,2024-10-03,72579000,53,1,3,Centenario,Transversal 52 #20-24,Cali,3.392078,-76.47202,Apartamento
637842,2024-10-03,186134000,40,6,"",El Refugio,Avenida 99 #43-44,Cali,3.467777,-76.513676,Casa
875321,2024-10-04,354065000,96,6,1,El Refugio,  Carrera 1 #16-9 ,Cali,3.465205,-76.520191,Apartaestudio
280390,2024-10-04,1389608000,75,6,1,Tequendama,Avenida 97 #57-13,Cali,3.469414,-76.486379,Casa
313809,2024-10-04,347606000,82,2,4,  Centenario ,Transversal 106 #24-37,Cali,3.397288,-76.451191,  Apartamento 
212172,2024-10-04,305940000,74,1,1,  Pance ,Transversal 111 #40-17,Cali,3.463903,-76.54273,Apartamento
244146,2024-10-04,82406000,53,2,1,San Cayetano,  Transversal 15 #6-27 ,Santiago de Cali,3.42069,-76.517929,Apartamento
837850,2024-10-05,390798000,95,3,1,El Refugio,Avenida 103 #108-59,Cali,3.389668,-76.481355,Apartamento
316140,2024-10-06,271823000,98,1,2,San Judas,Carrera 86 #60-57,Cali,3.464737,-76.53727,Apartamento
640748,2024-10-06,639291000,49,4,3,Ciudad  Jardín,Calle 15 #12-36,Cali,3.417324,-76.493329,Apartamento
412944,2024-10-06,201605000,70,1,4,Napoles,Transversal 51 #92-34,Santiago de Cali,3.411114,-76.457826,Apartaestudio
792808,2024-10-06,399084000,54,3,1,San Fernando,Calle 116 #93-46,Cali,3.410454,-76.478505,Apartamento
628580,2024-10-06,819253000,102,4,1,Santa Mónica,Transversal 16 #19-51,Cali,3.388344,-76.542303,Casa
234324,2024-10-06,467871000,169,3,3,La Flora,Calle 105 #54-41,Cali,3.453516,-76.473669,Apartaestudio
300821,2024-10-06,438878000,107,1,"",  Tequendama ,Transversal 113 #3-60,Santiago de Cali,3.488758,-76.459705,Apartamento
211367,2024-10-06,209387000,111,3,1,"",Carrera 53 #6-3,Santiago de Cali,3.405372,-76.502767,Apartamento
820649,2024-10-07,201510000,97,,1,Granada,Avenida 113 #72-25,Cali,3.469107,-76.555641,Apartamento
938047,2024-10-07,322515000,87,2,4,Tequendama,Calle 87 #100-53,Cali,3.380693,-76.493308,Casa
418736,2024-10-07,220702000,84,1,2,Granada,Carrera 18 #8-27,Cali,3.466426,-76.481768,  Apartaestudio 
409578,2024-10-08,141870000,50,1,3,Ciudad  Jardín,Transversal 10 #63-5,Cali,3.465697,-76.544274,  Casa 
230285,2024-10-08,305483000,116,5,1,El Ingenio,Avenida 113 #65-7,Cali,3.455514,-76.52759,
875893,2024-10-08,237266000,61,1,1,Pance,  Calle 69 #84-31 ,Cali,3.415886,-76.476531,Apartamento
418074,2024-10-09,199333000,155,3,4,San Antonio,Carrera 38 #114-58,Santiago de Cali,3.427974,-76.540666,Apartamento
133664,2024-10-09,323866000,45,,2,San  Antonio,Carrera 118 #59-60,Cali,3.403833,-76.561067,Casa
228390,2024-10-09,273191000,92,1,1,Ciudad  Jardín,Carrera 60 #43-3,  Cali ,3.444412,-76.457944,Apartaestudio
142240,2024-10-10,885393000,54,3,2,Pance,  Transversal 82 #71-7 ,Cali,3.484518,-76.5105,Apartamento
828766,2024-10-10,350762000,16,3,2,San Bosco,  Carrera 120 #58-16 ,  Cali ,3.430576,-76.467063,  Apartamento 
221756,2024-10-10,429054000,80,3,1,San Judas,Avenida 108 #61-14,Cali,3.394236,-76.557525,Casa
547693,2024-10-10,346885000,98,6,3,Tequendama,  Calle 18 #85-54 ,Cali,3.427894,-76.48991,Apartamento
682395,2024-10-11,1173901000,135,1,1,San  Antonio,Avenida 92 #53-46,Cali,3.448199,-76.465018,
351847,2024-10-11,599643000,56,4,4,  Santa Mónica ,Transversal 56 #100-33,  Cali ,3.411491,-76.509911,Casa
383281,2024-10-11,190508000,132,5,1,Napoles,Avenida 70 #12-33,Cali,3.464611,-76.540539,Apartamento
412911,2024-10-11,257870000,50,2,2,San Antonio,Avenida 59 #77-17,Cali,3.388076,-76.530041,Apartamento
444841,2024-10-12,375995000,106,4,3,Napoles,Avenida 41 #106-53,  Cali ,3.461158,-76.458896,  Apartamento 
498565,2024-10-12,255721000,82,3,1,  Santa Mónica ,Transversal 32 #93-36,  Cali ,3.436083,-76.478246,Apartamento
160935,2024-10-12,240357000,119,4,4,La Flora,Calle 7 #49-19,Cali,3.384856,-76.469093,Apartamento
731522,2024-10-12,332498000,57,3,1,  Santa Mónica ,Carrera 9 #89-11,Santiago de Cali,3.4031,-76.491139,Casa
336219,2024-10-12,294902000,75,1,1,Centenario,Carrera 50 #111-4,Santiago de Cali,3.405501,-76.566156,Casa
444841,2024-10-12,375995000,106,4,3,Napoles,Avenida 41 #106-53,  Cali ,3.461158,-76.458896,  Apartamento 
344101,2024-10-13,386330000,63,3,2,San  Antonio,Transversal 100 #25-32,  Cali ,3.433119,-76.473546,Casa
481219,2024-10-13,311899000,73,4,1,San Judas,Carrera 32 #22-58,  Cali ,3.466491,-76.5391,Casa
592417,2024-10-13,517193000,104,2,4,Granada,Carrera 81 #56-43,Cali,3.473381,-76.50612,Casa
483678,2024-10-13,325156000,107,6,2,San  Antonio,Transversal 49 #50-14,Cali,3.442543,-76.457637,Apartamento
382316,2024-10-13,638901000,83,3,1,Napoles,Carrera 36 #108-26,"",3.4242,-76.550122,  Casa 
892224,2024-10-14,617398000,65,1,3,San Fernando,Transversal 53 #77-11,  Cali ,3.418708,-76.503002,Casa
637174,2024-10-14,427571000,72,1,2,  El Ingenio ,Carrera 1 #32-2,"",3.481074,-76.556824,  Apartamento 
872562,2024-10-14,614017000,45,1,1,San Fernando,  Transversal 29 #97-36 ,"",3.471512,-76.472878,Casa
883612,2024-10-14,218487000,67,6,3,Santa Mónica,Avenida 73 #64-58,Cali,3.457338,-76.489489,Apartaestudio
317332,2024-10-14,965206000,92,4,1,Pance,Transversal 67 #15-25,Cali,3.462929,-76.457721,Apartamento
872562,2024-10-14,614017000,45,1,1,San Fernando,  Transversal 29 #97-36 ,"",3.471512,-76.472878,Casa
229374,2024-10-15,214896000,142,5,4,Granada,  Transversal 56 #69-52 ,Santiago de Cali,3.46087,-76.515058,Apartamento
766168,2024-10-15,335311000,110,3,2,  La Flora ,Avenida 91 #74-10,Cali,3.41332,-76.507764,Casa
810818,2024-10-15,349034000,100,4,5,La Flora,Transversal 104 #85-41,Cali,3.457413,-76.478953,Apartamento
349115,2024-10-16,399356000,92,1,1,  Granada ,Transversal 31 #10-54,Cali,3.411808,-76.492739,Apartaestudio
555841,2024-10-16,597248000,97,3,2,Santa Mónica,Calle 50 #6-52,Cali,3.474257,-76.569447,Apartamento
560196,2024-10-16,557911000,97,6,4,El Refugio,Calle 69 #56-18,Cali,3.431775,-76.512726,Casa
512694,2024-10-16,141361000,85,1,1,Pance,Transversal 69 #111-25,Santiago de Cali,3.454602,-76.455755,Apartamento
751144,2024-10-17,349110000,85,3,2,San Cayetano,Avenida 112 #61-55,Cali,3.423474,-76.476407,Apartamento
702677,2024-10-17,171006000,97,3,1,San Fernando,  Carrera 44 #83-3 ,"",3.450832,-76.456665,  Casa 
588812,2024-10-17,351357000,87,5,3,San Cayetano,Transversal 95 #8-11,Santiago de Cali,3.422282,-76.525954,Apartaestudio
159288,2024-10-18,212693000,103,4,4,  Granada ,Calle 7 #66-47,Cali,3.466234,-76.543209,Casa
814232,2024-10-18,279722000,61,4,3,Santa Mónica,Transversal 8 #78-41,Cali,3.461866,-76.463683,Apartamento
141053,2024-10-19,415507000,155,2,3,Santa Mónica,Calle 39 #112-34,Cali,3.443993,-76.535813,Casa
444413,2024-10-19,340809000,56,,2,San Bosco,Transversal 20 #5-29,Cali,3.455424,-76.480563,Apartaestudio
408567,2024-10-20,338228000,73,2,"",San Antonio,Carrera 109 #105-45,Cali,3.390081,-76.549027,Apartamento
781370,2024-10-21,284241000,65,3,1,  San Fernando ,Avenida 106 #1-51,Cali,3.463431,-76.525148,  Apartamento 
612108,2024-10-21,179270000,109,5,4,San Judas,Avenida 93 #10-57,Cali,3.394305,-76.514232,Apartaestudio
401097,2024-10-21,140909000,80,2,2,San Cayetano,  Calle 38 #27-37 ,  Cali ,3.460942,-76.495596,  Casa 
478776,2024-10-21,357350000,176,1,4,Santa Mónica,Carrera 22 #17-3,  Cali ,3.469524,-76.547127,Apartamento
169451,2024-10-22,193709000,89,1,1,Centenario,  Carrera 105 #105-45 ,Cali,3.479374,-76.458301,Apartamento
281892,2024-10-22,414446000,68,3,1,Centenario,Carrera 24 #91-50,Cali,3.486541,-76.495666,Apartaestudio
199569,2024-10-24,253105000,63,6,1,San Fernando,Avenida 111 #61-25,Cali,3.450866,-76.511626,Apartamento
502671,2024-10-24,295144000,97,3,2,Centenario,Calle 27 #36-33,Cali,3.486858,-76.514302,Casa
297270,2024-10-24,463897000,298,3,2,Pance,Carrera 23 #91-42,Cali,3.437293,-76.489273,Casa
153340,2024-10-25,"",44,3,4,San  Antonio,Carrera 69 #28-9,Cali,3.460997,-76.551238,Casa
